curve_id,material,T,m,u0,kL,lambda,use_hall_factor,mobility_model,rho,vl,Nv,Xi
300,Cu2Se_300K,300,2.3,2000,0.4,0,TRUE,,,,,
750,Cu2Se_750K,750,3.2,750,0.2,0,TRUE,,,,,
