nH,S,PF,ZT
2.48831E+20,107.2990174,7.863636364,0.332674581
2.79962E+20,99.24635322,9.818181818,0.415040785
3.27611E+20,97.4062648,10.18181818,0.383420651
3.46138E+20,90.26757193,9.363636364,0.324212481
3.65713E+20,87.57727764,9.090909091,0.310657205
5.24972E+20,73.20272552,7.590909091,0.19271835
8.02485E+20,60.58324123,6.590909091,0.166244446
1E+21,58.71886121,5.727272727,0.125525565
1.50E+21,41.65705124,5.590909091,0.099025134
