nH,S,PF,ZT
5.2011E+18,105.785124,5.138339921,0.381974249
6.02716E+18,127.2727273,4.545454545,0.287553648
6.34575E+18,105.785124,5.335968379,0.283261803
1.50751E+19,66.11570248,4.051383399,0.154506438
1.84029E+19,59.50413223,3.853754941,0.120171674
