nH,S,PF,ZT
3.43E+18,137.1900826,23.71541502,0.618025751
3.60E+18,153.7190083,18.37944664,0.746781116
4.39E+18,147.107438,21.93675889,0.721030043
4.18E+18,137.1900826,24.90118577,0.793991416
5.83E+18,128.9256198,22.82608696,0.678111588
6.55E+18,128.9256198,22.52964427,0.600858369
7.11E+18,142.1487603,19.66403162,0.570815451
1.08E+19,97.52066116,16.50197628,0.347639485
