x1,y1,x2,y2,x3,y3
0.633174095,18.16901408,1.142942653,4.694835681,1.049937586,13.38028169
0.751181777,19.95305164,1.498377756,6.924882629,1.050641227,15.79812207
0.809704238,20.70422535,1.373462712,7.769953052,1.077605754,17.25352113
0.936472079,20.63380282,1.40843754,8.521126761,1.1616421,18.2629108
0.951867797,19.48356808,2.073134131,8.685446009,1.479598931,21.4084507
1.082298049,17.9342723,2.198316639,10.28169014,3.300278066,21.66666667
1.331772658,16.5258216,2.389391826,11.07981221,3.271170196,19.69483568
1.423597546,17.15962441,2.273453338,11.57276995,4.07622378,18.75586854
1.759187888,16.05633803,2.380348299,12.3943662,5.817905984,12.72300469
2.120443333,15.11737089,2.608264919,12.3943662,8.346278189,10.11737089
2.209842873,14.15492958,2.598223984,13.4741784,9.766593491,7.276995305
2.918190139,12.6056338,4.169026817,10,,
3.634576193,9.882629108,4.841436789,9.647887324,,
5.415660198,9.154929577,4.271576436,7.699530516,,
6.133919342,8.615023474,5.170540316,6.995305164,,
7.330476898,6.76056338,,,,
6.745369166,6.549295775,,,,
5.905596411,6.713615023,,,,
5.504014084,7.558685446,,,,
4.622998562,8.028169014,,,,
3.262479512,10.09389671,,,,
2.684600931,11.50234742,,,,
3.015949585,11.5258216,,,,
3.792250068,13.14553991,,,,
1.736293171,13.77934272,,,,
2.136836271,12.91079812,,,,
