I,COP
0.311251314,13.85633168
0.353312303,12.12905273
0.43743428,9.936209103
0.605678233,7.031664714
0.815983176,4.923269941
1.160883281,3.420611086
1.606729758,2.221397026
2.237644585,1.49164128
2.9106204,0.982035151
