I,COP
0.487907466,21.29250293
1.001051525,15.56872826
2.018927445,9.359891843
2.977917981,6.331760252
3.96214511,4.812632717
4.996845426,3.870370437
6.014721346,3.202105453
6.998948475,2.752692204
7.957939012,2.385132041
