I,COP
1.059936909,4.62573772
1.371188223,3.671073457
1.8170347,2.663859396
2.431125131,2.043529518
3.213459516,1.343798107
3.802313354,1.052178459
4.736067298,0.711614241
5.400630915,0.53100676
5.955835962,0.513095989
6.754994742,0.417081568
