I,COP
0.201892744,6.750456963
0.269190326,5.48989635
0.378548896,4.010628211
0.513144059,2.888364128
0.765509989,1.795547544
1.101997897,1.115601622
1.396424816,0.818934655
1.943217666,0.49916539
2.380651945,0.396949977
2.809674027,0.239733213
