20251215-CHY-I-001-e
Wavelength = 1.54059
5	298.00
5.02	349.00
5.04	329.00
5.06	318.00
5.08	362.00
5.1	329.00
5.12	311.00
5.14	324.00
5.16	362.00
5.18	342.00
5.2	308.00
5.22	289.00
5.24	327.00
5.26	346.00
5.28	367.00
5.3	353.00
5.32	343.00
5.34	328.00
5.36	354.00
5.38	356.00
5.4	340.00
5.42	351.00
5.44	369.00
5.46	339.00
5.48	337.00
5.5	322.00
5.52	340.00
5.54	361.00
5.56	376.00
5.58	389.00
5.6	371.00
5.62	357.00
5.64	355.00
5.66	342.00
5.68	364.00
5.7	379.00
5.72	380.00
5.74	342.00
5.76	361.00
5.78	354.00
5.8	365.00
5.82	369.00
5.84	377.00
5.86	381.00
5.88	395.00
5.9	363.00
5.92	350.00
5.94	364.00
5.96	370.00
5.98	389.00
6	356.00
6.02	383.00
6.04	359.00
6.06	343.00
6.08	352.00
6.1	369.00
6.12	378.00
6.14	388.00
6.16	370.00
6.18	382.00
6.2	411.00
6.22	360.00
6.24	386.00
6.26	370.00
6.28	363.00
6.3	395.00
6.32	393.00
6.34	378.00
6.36	379.00
6.38	365.00
6.4	398.00
6.42	388.00
6.44	370.00
6.46	378.00
6.48	375.00
6.5	379.00
6.52	360.00
6.54	383.00
6.56	389.00
6.58	405.00
6.6	406.00
6.62	440.00
6.64	438.00
6.66	408.00
6.68	405.00
6.7	398.00
6.72	414.00
6.74	397.00
6.76	404.00
6.78	407.00
6.8	398.00
6.82	399.00
6.84	399.00
6.86	405.00
6.88	428.00
6.9	409.00
6.92	416.00
6.94	406.00
6.96	412.00
6.98	412.00
7	390.00
7.02	418.00
7.04	396.00
7.06	401.00
7.08	410.00
7.1	397.00
7.12	420.00
7.14	415.00
7.16	427.00
7.18	408.00
7.2	399.00
7.22	459.00
7.24	409.00
7.26	416.00
7.28	414.00
7.3	409.00
7.32	445.00
7.34	438.00
7.36	407.00
7.38	425.00
7.4	474.00
7.42	442.00
7.44	433.00
7.46	426.00
7.48	448.00
7.5	430.00
7.52	500.00
7.54	453.00
7.56	478.00
7.58	478.00
7.6	452.00
7.62	449.00
7.64	442.00
7.66	440.00
7.68	434.00
7.7	463.00
7.72	490.00
7.74	417.00
7.76	448.00
7.78	440.00
7.8	459.00
7.82	430.00
7.84	422.00
7.86	457.00
7.88	459.00
7.9	440.00
