20251215-CHY-I-001-f
Wavelength = 1.54059
5	354.00
5.02	392.00
5.04	380.00
5.06	361.00
5.08	410.00
5.1	363.00
5.12	353.00
5.14	344.00
5.16	380.00
5.18	377.00
5.2	361.00
5.22	345.00
5.24	330.00
5.26	373.00
5.28	392.00
5.3	358.00
5.32	385.00
5.34	362.00
5.36	359.00
5.38	385.00
5.4	389.00
5.42	373.00
5.44	369.00
5.46	400.00
5.48	385.00
5.5	372.00
5.52	403.00
5.54	372.00
5.56	365.00
5.58	371.00
5.6	390.00
5.62	379.00
5.64	395.00
5.66	377.00
5.68	373.00
5.7	378.00
5.72	385.00
5.74	375.00
5.76	398.00
5.78	367.00
5.8	407.00
5.82	392.00
5.84	417.00
5.86	385.00
5.88	390.00
5.9	371.00
5.92	399.00
5.94	409.00
5.96	411.00
5.98	408.00
6	390.00
6.02	390.00
6.04	384.00
6.06	394.00
6.08	418.00
6.1	427.00
6.12	407.00
6.14	459.00
6.16	401.00
6.18	420.00
6.2	415.00
6.22	404.00
6.24	422.00
6.26	400.00
6.28	410.00
6.3	408.00
6.32	394.00
6.34	417.00
6.36	435.00
6.38	446.00
6.4	428.00
6.42	416.00
6.44	419.00
6.46	459.00
6.48	426.00
6.5	446.00
6.52	446.00
6.54	441.00
6.56	439.00
6.58	418.00
6.6	432.00
6.62	422.00
6.64	394.00
6.66	417.00
6.68	422.00
6.7	449.00
6.72	411.00
6.74	429.00
6.76	409.00
6.78	433.00
6.8	462.00
6.82	440.00
6.84	422.00
6.86	421.00
6.88	455.00
6.9	450.00
6.92	452.00
6.94	427.00
6.96	431.00
6.98	442.00
7	431.00
7.02	435.00
7.04	474.00
7.06	462.00
7.08	449.00
7.1	462.00
7.12	422.00
7.14	436.00
7.16	431.00
7.18	466.00
7.2	453.00
7.22	491.00
7.24	445.00
7.26	448.00
7.28	427.00
7.3	451.00
7.32	449.00
7.34	470.00
7.36	450.00
7.38	465.00
7.4	488.00
7.42	484.00
7.44	464.00
7.46	454.00
7.48	462.00
7.5	447.00
7.52	452.00
7.54	472.00
7.56	485.00
7.58	448.00
7.6	433.00
7.62	462.00
7.64	447.00
7.66	473.00
7.68	448.00
7.7	463.00
7.72	446.00
7.74	465.00
7.76	466.00
7.78	508.00
7.8	513.00
7.82	477.00
7.84	488.00
7.86	470.00
7.88	470.00
7.9	476.00
7.92	505.00
7.94	480.00
7.96	548.00
7.98	505.00
8	485.00
8.02	493.00
8.04	489.00
8.06	504.00
8.08	450.00
8.1	480.00
8.12	505.00
8.14	524.00
8.16	495.00
8.18	500.00
8.2	519.00
8.22	502.00
8.24	499.00
8.26	504.00
8.28	524.00
8.3	480.00
8.32	501.00
8.34	515.00
8.36	503.00
8.38	485.00
8.4	500.00
8.42	538.00
8.44	530.00
8.46	503.00
8.48	506.00
8.5	499.00
8.52	562.00
8.54	533.00
8.56	502.00
8.58	538.00
8.6	506.00
8.62	535.00
8.64	531.00
8.66	523.00
8.68	537.00
8.7	515.00
8.72	480.00
8.74	511.00
8.76	510.00
8.78	543.00
8.8	563.00
8.82	536.00
8.84	540.00
8.86	559.00
8.88	501.00
8.9	531.00
8.92	542.00
8.94	519.00
8.96	523.00
8.98	556.00
9	545.00
9.02	506.00
9.04	538.00
9.06	544.00
9.08	553.00
9.1	552.00
9.12	549.00
9.14	565.00
9.16	520.00
9.18	531.00
9.2	586.00
9.22	541.00
9.24	519.00
9.26	523.00
9.28	524.00
9.3	576.00
9.32	569.00
9.34	614.00
9.36	564.00
9.38	544.00
9.4	542.00
9.42	533.00
9.44	551.00
9.46	554.00
9.48	570.00
9.5	564.00
9.52	561.00
9.54	546.00
9.56	576.00
9.58	569.00
9.6	583.00
9.62	555.00
9.64	550.00
9.66	573.00
9.68	589.00
9.7	531.00
9.72	569.00
9.74	600.00
9.76	569.00
9.78	550.00
9.8	556.00
9.82	584.00
9.84	604.00
9.86	514.00
9.88	556.00
9.9	589.00
9.92	583.00
9.94	571.00
9.96	606.00
9.98	600.00
10	588.00
10.02	606.00
10.04	599.00
10.06	585.00
10.08	574.00
10.1	574.00
10.12	614.00
10.14	580.00
10.16	602.00
10.18	604.00
10.2	572.00
10.22	591.00
10.24	579.00
10.26	589.00
10.28	595.00
10.3	605.00
10.32	605.00
10.34	624.00
10.36	604.00
10.38	622.00
10.4	623.00
10.42	607.00
10.44	623.00
10.46	591.00
10.48	655.00
10.5	620.00
10.52	619.00
10.54	597.00
10.56	623.00
10.58	613.00
10.6	570.00
10.62	600.00
10.64	638.00
10.66	655.00
10.68	614.00
10.7	619.00
10.72	600.00
10.74	639.00
10.76	607.00
10.78	619.00
10.8	629.00
10.82	641.00
10.84	635.00
10.86	619.00
10.88	645.00
10.9	613.00
10.92	647.00
10.94	615.00
10.96	637.00
10.98	624.00
11	664.00
11.02	610.00
11.04	620.00
11.06	620.00
11.08	629.00
11.1	650.00
11.12	626.00
11.14	650.00
11.16	638.00
11.18	653.00
11.2	634.00
11.22	627.00
11.24	634.00
11.26	668.00
11.28	678.00
11.3	675.00
11.32	661.00
11.34	668.00
11.36	636.00
11.38	646.00
11.4	679.00
11.42	713.00
11.44	649.00
11.46	638.00
11.48	649.00
11.5	671.00
11.52	646.00
11.54	657.00
11.56	625.00
11.58	646.00
11.6	693.00
11.62	660.00
11.64	637.00
11.66	673.00
11.68	683.00
11.7	666.00
11.72	667.00
11.74	640.00
11.76	663.00
11.78	683.00
11.8	683.00
11.82	684.00
11.84	650.00
11.86	674.00
11.88	723.00
11.9	693.00
11.92	664.00
11.94	695.00
11.96	697.00
11.98	754.00
12	699.00
12.02	685.00
12.04	711.00
12.06	675.00
12.08	679.00
12.1	749.00
12.12	675.00
12.14	723.00
12.16	720.00
12.18	710.00
12.2	700.00
12.22	672.00
12.24	703.00
12.26	743.00
12.28	684.00
12.3	698.00
12.32	689.00
12.34	720.00
12.36	715.00
12.38	718.00
12.4	736.00
12.42	672.00
12.44	699.00
12.46	736.00
12.48	690.00
12.5	717.00
12.52	695.00
12.54	713.00
12.56	731.00
12.58	703.00
12.6	729.00
12.62	709.00
12.64	730.00
12.66	736.00
12.68	706.00
12.7	725.00
12.72	767.00
12.74	750.00
12.76	697.00
12.78	719.00
12.8	726.00
12.82	692.00
12.84	731.00
12.86	776.00
12.88	750.00
12.9	719.00
12.92	697.00
12.94	747.00
12.96	770.00
12.98	706.00
13	744.00
13.02	777.00
13.04	709.00
13.06	692.00
13.08	767.00
13.1	727.00
13.12	768.00
13.14	777.00
13.16	774.00
13.18	736.00
13.2	763.00
13.22	713.00
13.24	777.00
13.26	762.00
13.28	763.00
13.3	765.00
13.32	767.00
13.34	768.00
13.36	800.00
13.38	783.00
13.4	823.00
13.42	798.00
13.44	757.00
13.46	781.00
13.48	773.00
13.5	798.00
13.52	808.00
13.54	778.00
13.56	778.00
13.58	758.00
13.6	794.00
13.62	790.00
13.64	795.00
13.66	786.00
13.68	774.00
13.7	737.00
13.72	766.00
13.74	796.00
13.76	787.00
13.78	817.00
13.8	778.00
13.82	773.00
13.84	788.00
13.86	834.00
13.88	801.00
13.9	807.00
13.92	865.00
13.94	818.00
13.96	816.00
13.98	831.00
14	863.00
14.02	832.00
14.04	792.00
14.06	848.00
14.08	832.00
14.1	814.00
14.12	807.00
14.14	818.00
14.16	850.00
14.18	819.00
14.2	812.00
14.22	793.00
14.24	850.00
14.26	855.00
14.28	845.00
14.3	851.00
14.32	798.00
14.34	850.00
14.36	824.00
