20251215-CHY-I-001-a
Wavelength = 1.54059
3	1751.00
3.02	1780.00
3.04	1724.00
3.06	1768.00
3.08	1696.00
3.1	1639.00
3.12	1646.00
3.14	1659.00
3.16	1599.00
3.18	1644.00
3.2	1671.00
3.22	1647.00
3.24	1612.00
3.26	1597.00
3.28	1633.00
3.3	1528.00
3.32	1624.00
3.34	1556.00
3.36	1583.00
3.38	1589.00
3.4	1555.00
3.42	1572.00
3.44	1605.00
3.46	1490.00
3.48	1492.00
3.5	1548.00
3.52	1576.00
3.54	1550.00
3.56	1560.00
3.58	1449.00
3.6	1453.00
3.62	1451.00
3.64	1450.00
3.66	1467.00
3.68	1456.00
3.7	1444.00
3.72	1476.00
3.74	1467.00
3.76	1399.00
3.78	1454.00
3.8	1473.00
3.82	1476.00
3.84	1456.00
3.86	1464.00
3.88	1415.00
3.9	1394.00
3.92	1375.00
3.94	1371.00
3.96	1407.00
3.98	1360.00
4	1374.00
4.02	1369.00
4.04	1427.00
4.06	1424.00
4.08	1344.00
4.1	1339.00
4.12	1379.00
4.14	1359.00
4.16	1382.00
4.18	1334.00
4.2	1370.00
4.22	1323.00
4.24	1344.00
4.26	1315.00
4.28	1281.00
4.3	1343.00
4.32	1301.00
4.34	1306.00
4.36	1279.00
4.38	1283.00
4.4	1260.00
4.42	1301.00
4.44	1286.00
4.46	1269.00
4.48	1237.00
4.5	1283.00
4.52	1254.00
4.54	1257.00
4.56	1230.00
4.58	1210.00
4.6	1227.00
4.62	1268.00
4.64	1247.00
4.66	1241.00
4.68	1201.00
4.7	1203.00
4.72	1236.00
4.74	1204.00
4.76	1189.00
4.78	1222.00
4.8	1210.00
4.82	1178.00
4.84	1163.00
4.86	1175.00
4.88	1183.00
4.9	1190.00
4.92	1173.00
4.94	1177.00
4.96	1135.00
4.98	1138.00
5	1151.00
5.02	1093.00
5.04	1102.00
5.06	1089.00
5.08	1114.00
5.1	1133.00
5.12	1111.00
5.14	1200.00
5.16	1124.00
5.18	1096.00
5.2	1063.00
5.22	1072.00
5.24	1098.00
5.26	1146.00
5.28	1118.00
5.3	1089.00
5.32	1098.00
5.34	1104.00
5.36	1110.00
5.38	1087.00
5.4	1044.00
5.42	1082.00
5.44	1051.00
5.46	1067.00
5.48	992.00
5.5	1060.00
5.52	1025.00
5.54	1034.00
5.56	1036.00
5.58	1073.00
5.6	1000.00
5.62	1018.00
5.64	981.00
5.66	991.00
5.68	1015.00
5.7	999.00
5.72	1014.00
5.74	965.00
5.76	981.00
5.78	1047.00
5.8	994.00
5.82	1016.00
5.84	950.00
5.86	1030.00
5.88	990.00
5.9	973.00
5.92	956.00
5.94	998.00
5.96	990.00
5.98	939.00
6	979.00
6.02	1023.00
6.04	975.00
6.06	971.00
6.08	947.00
6.1	955.00
6.12	916.00
6.14	934.00
6.16	940.00
6.18	904.00
6.2	859.00
6.22	938.00
6.24	927.00
6.26	914.00
6.28	905.00
6.3	945.00
6.32	916.00
6.34	930.00
6.36	911.00
6.38	913.00
6.4	895.00
6.42	883.00
6.44	922.00
6.46	908.00
