I,y
0.100997409,0.759001378
0.197284453,1.626946507
0.303091262,2.422308686
0.389821402,3.30850354
0.490744535,3.959046439
0.606046351,4.645603515
0.706969484,5.296146414
0.793513932,5.910675136
0.894362788,6.452551582
0.966503795,6.994843976
1.100845142,7.536235149
1.192062818,7.987694867
1.297584901,8.366502309
1.388814956,8.836073103
1.479933597,9.142644217
1.604594246,9.52117436
1.710116329,9.899981802
1.80122259,10.18844184
1.892378369,10.54934618
1.997838555,10.83759825
2.098464582,11.05347533
2.194343105,11.32375497
2.275818186,11.52179828
2.405152062,11.73725942
2.496146909,11.86271978
2.57280021,12.00649919
2.67335196,12.11370982
2.807359064,12.16610196
2.88872273,12.20114559
2.994059122,12.3082869
3.104093499,12.28858136
3.19017991,12.23300029
3.314592971,12.24930892
3.386399734,12.30260228
3.501206373,12.26471633
3.587305164,12.22724634
3.682997996,12.22585984
3.783425952,12.15195972
3.864715342,12.0783369
3.950826511,12.05897798
4.05601435,11.94878638
4.084660303,11.85781506
4.156355651,11.74810874
4.223253977,11.62036066
4.323644795,11.49212731
4.428758358,11.27326927
4.490872043,11.14559052
4.58164406,10.94505152
4.681960601,10.70815172
4.782252384,10.43502977
