T,S,C,ZT
300.8840491,-0.000190807,98765.4321,0.705385734
323.9504794,-0.000202811,87308.64198,0.742593378
374.2808468,-0.000224871,62024.69136,0.817060965
423.9153707,-0.000242975,47407.40741,0.890114862
473.5464414,-0.000265031,33580.24691,0.947561106
523.8837153,-0.000279189,26469.1358,0.983735424
573.5165126,-0.000299269,19753.08642,0.997214617
