T,S,conductivity,ZT
301.9286775,0.000204248,75061.7284,0.520997349
323.618961,0.000217932,63209.87654,0.548271121
374.6952448,0.000249201,39901.23457,0.591542421
424.3694819,0.000276528,28444.44444,0.620615003
474.043719,0.000303855,17382.71605,0.622746633
524.4068928,0.000319326,12641.97531,0.587989175
574.7717933,0.000336772,8691.358025,0.506432531
