T,S,C,ZT
301.198301,0.000168697,148148.1481,0.705404752
324.2854512,0.000180397,126419.7531,0.783733047
374.648625,0.000195868,81777.77778,0.848276272
424.3159555,0.000215294,59259.25926,0.934086668
473.2874426,0.000238675,38716.04938,0.961750314
523.6713363,0.000277849,27654.32099,1.081622416
574.0431434,0.000303197,17777.77778,0.956079702
