I,V,P
0,2.123121018,0
0.990479002,1.877600643,1.859724011
1.982229111,1.628340755,3.227744447
2.996162078,1.360440705,4.07610085
3.965975349,1.107433103,4.392052386
5.001681141,0.858206018,4.292472854
6.004461174,0.605223018,3.634038111
6.996293289,0.348500504,2.43821174
7.999196333,0.084323566,0.674520762
