I,V,P
0,0.854474705,0
0.519431528,0.742920757,0.385896464
0.971043373,0.646242855,0.627529842
1.522006544,0.50859432,0.774083884
2.017943104,0.378367407,0.7635239
2.535898508,0.244425583,0.619838471
3.009693212,0.129107519,0.388574024
3.527525607,0.006359633,0.022433768
