I,V,P
0,1.317173879,0
1.0322205,1.079124331,1.113894256
2.023847598,0.841058381,1.702173984
3.015679714,0.584335867,1.762169821
4.01825473,0.350009431,1.406427051
5.010332866,0.070899041,0.355227797
