I,V,P
0,0.619410207,0
0.533044669,0.504124946,0.268721115
1.006716363,0.40000082,0.402687371
1.513641843,0.269782108,0.408353487
1.998671489,0.132084369,0.263993262
2.51646288,0.013067795,0.032884621
