I,V,P
0,1.58210528,0
1.018238328,1.351501956,1.376151092
1.988092602,1.094763041,2.176490303
3.001820553,0.845519555,2.538097976
4.004805603,0.573879991,2.298277804
5.040593402,0.317190281,1.598827235
6.02160061,0.045534316,0.274189464
