I,V,P
0,1.820892891,0
1.004666191,1.586566454,1.593969676
2.018394141,1.337322968,2.699244843
2.96622957,1.084298964,3.216279651
4.013088297,0.820154829,3.291353746
5.004920412,0.563432316,2.819933897
6.007823456,0.299255378,1.797873477
7.010603489,0.046272378,0.324397292
