I,Q
6.01353317,0.289584284
7.052550418,0.579215871
7.969267738,0.859339708
9.008119429,1.213936185
10.02674941,1.503529929
10.96380669,1.802253005
11.98243668,2.09184675
12.9807267,2.362841256
14.01988586,2.596788651
14.99778862,2.867745315
15.9961023,3.129459123
16.99458153,3.32620804
17.95233354,3.504319877
18.93042551,3.701030952
19.92890474,3.89777987
