I,Q
3.016983868,0.135530364
4.014966427,0.527173952
4.951952755,0.853739123
6.011144407,1.226934839
6.988952563,1.535014297
8.068578781,1.889686457
8.964861535,2.18833385
9.963104256,2.477889753
11.02246147,2.786120578
12.00036423,3.057077242
13.05969779,3.374588766
13.97655701,3.599028412
14.97487069,3.860742219
15.91199892,4.1316232
16.93067621,4.402655547
18.0107045,4.599555832
18.94809289,4.768349128
20.02814483,4.955968714
